# Comments start with a hashtag because of how CSV is read,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>","<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,
Resource,Website,Hotline Phone/Text,Resource Description,Keywords,Region/Language
# ATTN: SUSPENDED AUG 2020 Fenway Health Helpline,"<a href=""https://fenwayhealth.org/care/wellness-resources/help-lines/"" target=""_blank"">Fenway Health Helpline</a>","(25+) <a href=""tel:+1617-267-9001"">1.617.267.9001</a> or (25 and under) <a href=""tel:+1617-267-2535"">1.617.267.2535</a>","Not 24/7! 25+ M-Sa 6pm-11pm ET; <25 M-Sa 5p-11pm. Fenway Health provides information, help, and referrals to LGBT callers. Provide medical and mental health support. They have a Sidney Borum Jr Center that serves LGBTQ+ people 12-29.","LGBTQ, hotline",
2 Spirited People of the 1st Nations,"<a href=""https://www.facebook.com/pages/category/Charity-Organization/2-Spirited-People-of-the-1st-Nations-1841697149379183/"" target=""_blank"">2 Spirited People of the 1st Nations</a>","<a href=""tel:+1437-288-7963"">1.437.288.7963</a>",Toronto-based online community group offering resources and support for the Aboriginal 2-Spirit community. M-F 9:30am-6pm ET.,"LGBTQ, hotline, gender identity, Indigenous",
211 (identify local resources),"<a href=""https://www.211.org/"" target=""_blank"">211 (identify local resources)</a>",,"A comprehensive source of locally curated social services information in the US and Canada. Includes helping find assistance with food, housing, disaster relief, employment, education, veteran services, healthcare, etc.",general,
24-7 Prayer,"<a href=""https://www.24-7prayer.com/"" target=""_blank"">24-7 Prayer</a>",,"An international, interdenominational movement of prayer, mission, and justice that hosts non-stop prayer meetings and prayer posts.",religion,
7 Simple Grounding Techniques for Calming Down Quickly,"<a href=""https://drsarahallen.com/7-ways-to-calm/"" target=""_blank"">7 Simple Grounding Techniques for Calming Down Quickly</a>",,A post on ways to calm down quickly.,mental health,
99 coping skills,"<a href=""https://www.yourlifeyourvoice.org/Style%20Library/99%20Coping%20Skills%20Poster.pdf"" target=""_blank"">99 coping skills</a>",,A list of 99 different coping skills.,mental health,
A OK Podcast,"<a href=""https://www.aokpod.com/"" target=""_blank"">A OK Podcast</a>",,A podcast that hosts interviews with people on the asexual and aromantic. Spectrums.,LGBTQ,
Accessibility 101: STEM Edition,"<a href=""https://sbctc.instructure.com/courses/1698678"" target=""_blank"">Accessibility 101: STEM Edition</a>",,A public Canvas course on building STEM courses for accessibility.,"disability, education",
AccessSTEM,"<a href=""https://www.washington.edu/doit/programs/accessstem/overview"" target=""_blank"">AccessSTEM</a>",,"Information about universal design principles, rights, resources, and accommodations for making STEM more accessible to people with disabilities.","disability, education",
Arocalypse,"<a href=""https://www.arocalypse.com/"" target=""_blank"">Arocalypse</a>",,A forum to discuss and connect with others about aromanticism.,LGBTQ,
Addiction Center,"<a href=""https://www.addictioncenter.com/"" target=""_blank"">Addiction Center</a>",,"A referral service that provides information and resources about addiction,  addiction treatment practitioners, and facilities.",health,
