# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
15 Free Hobbies,,A list of 15 free hobbies with external links to suggestions on getting started.,"general, coping",,thriv.life/15Hobbies,https://thecollegeinvestor.com/19144/free-hobbies/
2 Spirited People of the 1st Nations,,Toronto-based online community group offering resources and identity & mental health support for the Aboriginal 2-Spirit community.,"LGBTQ, gender identity, Indigenous",,thriv.life/2SP1N,https://www.facebook.com/pages/category/Charity-Organization/2-Spirited-People-of-the-1st-Nations-1841697149379183/
211 (identify local resources),,"A comprehensive source of locally curated social services information in the US and Canada. Includes helping find assistance with food, housing, disaster relief, employment, education, veteran services, healthcare, etc.","general, housing, food, veteran",,thriv.life/211,https://www.211.org/
24-7 Prayer,,"An international, interdenominational movement of prayer, mission, and justice that hosts non-stop prayer meetings and prayer posts.",religion,,thriv.life/247-Pray,https://www.24-7prayer.com/
7 PTSD Feedback Loops,,"An article describing different PTSD feedback loops, with suggestions on ways to get out off them.","mental health, education, coping",,thriv.life/PTSDLoop,https://www.printfriendly.com/p/g/LfzpF5
7 Simple Grounding Techniques for Calming Down Quickly,,A post on ways to calm down quickly.,mental health,,thriv.life/7-Ground,https://drsarahallen.com/7-ways-to-calm/
99 coping skills,,A list of 99 different coping skills.,mental health,,thriv.life/99-Coping,https://www.yourlifeyourvoice.org/Style%20Library/99%20Coping%20Skills%20Poster.pdf
A OK Podcast,,A podcast that hosts interviews with people on the asexual and aromantic spectrums. No longer active.,LGBTQ,,thriv.life/AOKpod,https://www.aokpod.com/
A Sacred Passing,,calendar of groups hosted by a Sacred Passing with focus on grief and various different types of support groups,"mental health, support, coping",,,https://tockify.com/a.sacredpassing/pinboard
Abolition-Centered Care Provider Database,,"A collective resource of abolition-centered, non-carceral care providers (therapists, social workers, peer supporters, healers) that are dedicated to provding care outside of oppressive systems (i.e., law enforcement, forced hospitalization, the psychiatric industrial complex).","mental health, support, providers, non-carceral",,thriv.life/AbolCareDB,https://docs.google.com/spreadsheets/d/1csxYvoLLFucundPEJxGL0CFdDMEQEcxAMRK6EvQkhJM/edit#gid=2020542098
Abortion Finder,,A comprehensive directory of trusted (and verified) abortion service providers in the United States.,"general, health, providers",Español,,https://www.abortionfinder.org/
Abortion Resolution Workbook,,A workbook for people who have had abortions and are seeking emotional or spiritual resolution.,"general, gestation, health",,thriv.life/ARWB,https://www.pregnancyoptions.info/abortion-resolution-workbook
Academic Coping Playlist,,A worksheet for building a playlist for coping with academia.,"STEMM, education, coping",,thriv.life/AcadPlaylist,https://static1.squarespace.com/static/601117d0ea3d894334cf45a3/t/60544fad4c43e64a0cf9f4cf/1616138158076/My+ACADEMIC+Coping+Playlist.pdf
Accessibility 101: STEM Edition,,A public Canvas course on building STEM courses for accessibility.,"disability, education",,thriv.life/Access-101,https://sbctc.instructure.com/courses/1698678
AccessSTEM,,"Information about universal design principles, rights, resources, and accommodations for making STEM more accessible to people with disabilities. Also has groups (communities of practice) folks can join to promote the initiative","disability, education",,thriv.life/AccessSTEM,https://www.washington.edu/doit/programs/accessstem/overview
Accomodation Guidance,,Legal guidance regarding the rights and responsibilities of employers under ADA regarding reasonable accommodations and undue hardship.,"legal, disability",,thriv.life/AccomHardship,https://www.eeoc.gov/laws/guidance/enforcement-guidance-reasonable-accommodation-and-undue-hardship-under-ada
ACLU Protestor's Rights,,"English and Spanish resource about the rights of protestors (for organizers and attendees), and what to do in case of arrest.","general, legal, protest",Español,thriv.life/ACLUProt,https://www.aclu.org/know-your-rights/protesters-rights
Action for Happiness App,,An app (Android and iOS) that provides daily prompts with happiness challenges and sends inspiring messages.,"app, coping, mental health",UK,thriv.life/A4H,https://www.actionforhappiness.org/smartphone-app
