# Comments start with a hashtag because of how CSV is read,,,,
Organization,Acronym,Website,Keywords,Type
African American Women in Physics,AAWIP,http://aawip.com/,"physics, Black, women",Organization
Alpha Chi Sigma,AXS,https://www.alphachisigma.org/,chemistry,Organization
American Academy of Osteopathy,AAO,https://www.academyofosteopathy.org/,medicine,Organization
American Association for Anatomy,AAA,https://www.anatomy.org/,medicine,Organization
American Association for the Advancement of Science,AAAS,https://www.aaas.org/,science,Organization
American Association of Black Physician Scientists,AABPS,https://www.aablackps.org/,"medicine, Black",Organization
American Association of Physics Teachers,AAPT,https://www.aapt.org/,"physics, education",Organization
American Astronomical Society,AAS,https://aas.org/,astronomy,Organization
American Chemical Society,ACS,https://www.acs.org/content/acs/en.html,chemistry,Organization
ACS Chemists with Disabilities,,https://acsprof.org/subdivisions/chemists-with-disabilities/,"chemistry, disability",Organization
ACS Gay and Transgender Chemists and Allies,GTCA,https://acsprof.org/subdivisions/lgbt-and-allies/,"chemistry, LGBTQ",Organization
ACS International Chemists,,https://acsprof.org/subdivisions/international-chemists/,"chemistry, international",Organization
ACS Minority Affairs,,https://acsprof.org/subdivisions/minority-affairs/,"chemistry, diversity",Organization
American College of Osteopathic Family Physicians,ACOFP,https://www.acofp.org/acofpimis/acofporg/,medicine,Organization
American College of Osteopathic Obstetricians and Gynecologists,ACOOG,https://www.acoog.org/,medicine,Organization
American College of Osteopathic Pediatricians,ACOP,https://acopeds.org/,medicine,Organization
American College of Osteopathic Surgeons,ACOS,https://www.facos.org/,medicine,Organization
American Dental Association,ADA,https://www.ada.org/en,dentistry,Organization
American Geophysical Union,AGU,https://www.agu.org/,geoscience,Organization
American Geosciences Institute,AGI,https://www.americangeosciences.org/,geoscience,Organization
American Geriatrics Society,AGS,https://www.americangeriatrics.org/,medicine,Organization
American Indian Science and Engineering Society,AISES,https://www.aises.org/,"science, engineering, Indigenous",Organization
American Institute of Chemical Engineers,AIChE,https://www.aiche.org/,"chemistry, engineering",Organization
American Institue of Physics,AIP,https://www.aip.org/,physics,Organization
American Mathematical Society,AMS,https://www.ams.org/home/page,math,Organization
American Medical Association,AMA,https://www.ama-assn.org/,medicine,Organization
American Medical Student Association,AMSA,https://www.amsa.org/,"medicine, students",Organization
American Medical Women's Association,AMWA,https://www.amwa-doc.org/,"medicine, women",Organization
American Meteorological Society,AMS,https://www.ametsoc.org/index.cfm/ams/,meteorology,Organization
American Optometric Association,AOA,https://www.aoa.org/,optometry,Organization
American Optometric Student Association,AOSA,https://theaosa.org/,"optometry, students",Organization
American Pharmacists Association,APhA,https://www.pharmacist.com/,pharmacy,Organization
American Physical Society,APS,https://www.aps.org/,physics,Organization
APS LGBT+ Physicists,,https://www.aps.org/programs/lgbt/index.cfm,"physics, LGBTQ",Organization
American Psychological Association,APA,https://www.apa.org/,psychology,Organization
APA Division 35: Society for the Psychology of Women,,https://www.apa.org/about/division/div35,"psychology, women",Organization
APA Division 44: Society for the Psychology of Sexual Orientation and Gender Diversity,,https://www.apadivisions.org/division-44,"psychology, LGBTQ",Organization
